n_episode : 185, Total Frames : 9956, Average Score : 135.4, Episode Score : 90.0, Best Score : 940.0, n_buffer : 9956, eps : 90.6%
n_episode : 186, Total Frames : 10006, Average Score : 135.1, Episode Score : 80.0, Best Score : 940.0, n_buffer : 10006, eps : 90.6%
n_episode : 187, Total Frames : 10140, Average Score : 137.8, Episode Score : 640.0, Best Score : 940.0, n_buffer : 10140, eps : 90.6%
n_episode : 188, Total Frames : 10166, Average Score : 137.0, Episode Score : 0.0, Best Score : 940.0, n_buffer : 10166, eps : 90.5%
n_episode : 189, Total Frames : 10210, Average Score : 137.3, Episode Score : 190.0, Best Score : 940.0, n_buffer : 10210, eps : 90.4%
n_episode : 190, Total Frames : 10279, Average Score : 137.6, Episode Score : 190.0, Best Score : 940.0, n_buffer : 10279, eps : 90.4%
n_episode : 191, Total Frames : 10324, Average Score : 137.4, Episode Score : 100.0, Best Score : 940.0, n_buffer : 10324, eps : 90.3%
n_episode : 192, Total Frames : 10366, Average Score : 137.3, Episode Score : 120.0, Best Score : 940.0, n_buffer : 10366, eps : 90.3%
n_episode : 193, Total Frames : 10433, Average Score : 137.5, Episode Score : 180.0, Best Score : 940.0, n_buffer : 10433, eps : 90.3%
n_episode : 194, Total Frames : 10473, Average Score : 137.3, Episode Score : 100.0, Best Score : 940.0, n_buffer : 10473, eps : 90.2%
n_episode : 195, Total Frames : 10526, Average Score : 137.0, Episode Score : 80.0, Best Score : 940.0, n_buffer : 10526, eps : 90.2%
n_episode : 196, Total Frames : 10682, Average Score : 138.6, Episode Score : 450.0, Best Score : 940.0, n_buffer : 10682, eps : 90.1%
n_episode : 197, Total Frames : 10703, Average Score : 138.0, Episode Score : 20.0, Best Score : 940.0, n_buffer : 10703, eps : 90.0%
n_episode : 198, Total Frames : 10758, Average Score : 137.7, Episode Score : 70.0, Best Score : 940.0, n_buffer : 10758, eps : 90.0%
n_episode : 199, Total Frames : 10816, Average Score : 137.8, Episode Score : 160.0, Best Score : 940.0, n_buffer : 10816, eps : 89.9%
n_episode : 200, Total Frames : 10939, Average Score : 138.7, Episode Score : 310.0, Best Score : 940.0, n_buffer : 10939, eps : 89.9%
n_episode : 201, Total Frames : 10961, Average Score : 138.2, Episode Score : 40.0, Best Score : 940.0, n_buffer : 10961, eps : 89.7%
n_episode : 202, Total Frames : 11030, Average Score : 138.6, Episode Score : 220.0, Best Score : 940.0, n_buffer : 11030, eps : 89.7%
n_episode : 203, Total Frames : 11116, Average Score : 142.5, Episode Score : 930.0, Best Score : 940.0, n_buffer : 11116, eps : 89.7%
n_episode : 204, Total Frames : 11193, Average Score : 142.3, Episode Score : 100.0, Best Score : 940.0, n_buffer : 11193, eps : 89.6%
n_episode : 205, Total Frames : 11253, Average Score : 142.3, Episode Score : 150.0, Best Score : 940.0, n_buffer : 11253, eps : 89.5%
n_episode : 206, Total Frames : 11309, Average Score : 142.1, Episode Score : 100.0, Best Score : 940.0, n_buffer : 11309, eps : 89.5%
